user_id,recs
17,"[13877192, 892503, 1039287, 832678, 978906, 1079541, 5569471, 1068719, 995242, 857849, 9553031, 1082185, 923746, 6534077, 6533608, 1109352, 1022827, 17974316, 937489, 972229, 896085, 842416, 1053016, 1009344, 944486, 923559, 833351, 948670, 7409941, 17974317, 1117128, 913806, 928036, 9487497, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820]"
18,"[919704, 948420, 13877192, 9677886, 1082185, 1041259, 840361, 8160430, 6533889, 951412, 839243, 1104343, 995242, 854852, 981760, 923746, 859075, 847270, 1052912, 951197, 1116821, 13672062, 1105616, 831628, 819978, 886291, 1024629, 13945181, 878715, 853235, 15596892, 880228, 7441668, 914697, 1038743, 909750, 1068943, 9364200, 5569379, 1029313, 1118878, 897098, 1053628, 5575861, 1017311, 1128477, 15626756, 7466845, 894494, 1010766]"
19,"[13871141, 878880, 989075, 951746, 833556, 939900, 905217, 1131438, 1077490, 914513, 860776, 994928, 985427, 972742, 951526, 870780, 822241, 834117, 1127758, 6979089, 1028995, 1055646, 840102, 1137387, 944466, 941741, 830960, 885463, 5592931, 1048483, 882288, 1068719, 1013321, 1026118, 999104, 15926927, 1070015, 900145, 859075, 923746, 989069, 1118787, 1094955, 861701, 1043128, 1044078, 12946027, 1041616, 871061, 1076875]"
20,"[849202, 13512876, 821556, 866292, 945611, 1002850, 865330, 6534178, 883404, 823758, 15716530, 1075368, 6533765, 1058997, 1053460, 878637, 995645, 819112, 995965, 5592931, 913785, 8090536, 944419, 5979156, 1126899, 1025522, 1013807, 905217, 1010424, 10149303, 931015, 1116242, 941532, 10457177, 878888, 7168739, 15595834, 6772859, 1086740, 875502, 15512011, 6443283, 878732, 5563752, 1016709, 971684, 5564471, 901772, 1117034, 1103823]"
22,"[840173, 6534178, 991874, 916758, 1047619, 995645, 1120362, 903674, 14050714, 5568489, 7410013, 1075074, 13945244, 826249, 5569374, 1075175, 5569845, 858743, 1025641, 935968, 1001702, 1082185, 1070820, 976199, 995965, 13115981, 927191, 860362, 841220, 944836, 827656, 880150, 1119830, 840102, 15511891, 932182, 1009567, 1057124, 15506577, 1104604, 912704, 1073775, 1087660, 849470, 825749, 943286, 1059473, 904360, 1130177, 7441679]"
23,"[1075368, 1034176, 969568, 849202, 851819, 1097018, 9487286, 1032297, 13034781, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719]"
24,"[964977, 8203451, 831815, 1096036, 849843, 883404, 1041796, 853904, 1119879, 863885, 12988031, 1106523, 986912, 1092026, 871756, 1050229, 844165, 1101010, 1068719, 15926638, 1022003, 1132771, 1036501, 15926887, 859237, 1056762, 1113588, 15926863, 935993, 7442008, 903230, 1118393, 1013528, 877447, 1011832, 993638, 13512017, 13189726, 1009368, 921504, 15926910, 1077587, 1061971, 992956, 1087851, 7441873, 15717278, 832185, 7442307, 1082185]"
25,"[992542, 1070845, 885863, 979877, 948509, 12301100, 1004909, 866140, 13008065, 9487423, 989101, 1035386, 929018, 1029743, 1027039, 5568378, 892920, 877226, 1113584, 12731623, 1135768, 850841, 855310, 1110244, 934676, 1000002, 1075175, 958023, 6534178, 5567037, 9526431, 13213122, 9487421, 964871, 991442, 16733475, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646]"
26,"[1042438, 961979, 869150, 1013572, 1094280, 13382327, 991064, 5996608, 9654982, 937454, 9297154, 13115539, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928]"
27,"[17214971, 883186, 1082185, 918733, 1016302, 1133072, 1005861, 15927661, 7167249, 1077409, 1062860, 7409957, 12731808, 1059308, 10182813, 959409, 1052833, 12673243, 1003836, 1065669, 9419470, 14025461, 13133557, 1046584, 1002558, 13190283, 1057777, 949965, 17214679, 907491, 996425, 1101589, 1054383, 1017982, 881529, 1004436, 12599756, 1048373, 1019479, 1031923, 1029252, 1138423, 5566804, 897449, 959345, 13189890, 943833, 1136741, 13095517, 1082185]"
28,"[8119129, 944419, 1069979, 883404, 839243, 13213604, 13506200, 913785, 964968, 870882, 1005186, 896444, 13416117, 916122, 9270757, 903567, 1074594, 15717069, 926646, 897493, 970869, 6534030, 1058185, 13007514, 6533911, 14025442, 13115551, 827631, 8090546, 1080601, 820352, 6534881, 894357, 5996184, 1111623, 1125724, 877111, 826004, 9655215, 13039165, 1054056, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590]"
29,"[970869, 847270, 836793, 1065538, 1110843, 1091365, 1061933, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177]"
30,"[1049708, 1040781, 852793, 6463742, 5591083, 5585701, 12810389, 1018316, 1078346, 12946027, 1031633, 914190, 6534480, 873203, 840361, 823758, 833025, 881805, 7409582, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186]"
31,"[1054424, 6534178, 7166865, 1056492, 1126899, 5570383, 1096290, 1123556, 1136397, 919427, 855916, 900842, 1013503, 1063577, 1010676, 12673433, 841220, 898847, 1132789, 1081582, 7169088, 1135578, 7409621, 921288, 1085780, 971709, 1117723, 1082990, 978306, 1040807, 982469, 948239, 8249443, 7166839, 1082185, 981760, 860975, 1013641, 1055504, 819765, 997907, 909714, 819978, 921744, 1007434, 847982, 976199, 1077410, 896085, 1058779]"
32,"[908846, 1053690, 932179, 957190, 827631, 894499, 1068715, 1051402, 15452457, 901452, 1118479, 878996, 8293898, 5587938, 990688, 1004906, 8293440, 981760, 1074172, 995785, 947267, 991575, 7168890, 1024319, 824005, 919158, 1096343, 1058997, 907014, 953476, 1098815, 905868, 960551, 1137484, 911088, 866149, 1045285, 868947, 821867, 6979526, 1092354, 1086942, 1025454, 9221327, 1085872, 1029723, 856619, 12673066, 999744, 850633]"
33,"[1044299, 9575181, 892580, 1106523, 985119, 15972074, 9487572, 12172193, 9189920, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719]"
34,"[1081177, 1050851, 1092026, 1029743, 859154, 908531, 981760, 831390, 973476, 9835619, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471]"
35,"[6423775, 5591609, 1089888, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349, 845208, 833025, 1135476]"
36,"[1110843, 995242, 865174, 1104649, 909714, 1084310, 1067779, 962229, 944317, 865705, 925626, 5587133, 969568, 871061, 878996, 940947, 962568, 1113141, 1115576, 1024306, 870547, 995628, 1089066, 1029743, 883404, 1051093, 830750, 845082, 6553737, 1026011, 934172, 1011215, 15973135, 863885, 7409970, 834662, 1097991, 848029, 977497, 8019396, 1038692, 5564901, 965638, 16769338, 1085920, 939605, 957164, 7443348, 9420068, 1045154]"
37,"[6534178, 1092026, 5569792, 844165, 1073120, 840634, 1097001, 1067695, 15595711, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719]"
39,"[840361, 1101449, 1049708, 1127716, 999318, 7025203, 1025581, 907014, 962568, 1126899, 1017201, 6602697, 835098, 872137, 1082185, 941307, 1077373, 979987, 1034686, 929668, 888835, 1041259, 961554, 1115098, 873627, 981760, 845208, 969836, 995785, 924610, 5568249, 1013807, 933633, 942817, 9677886, 9527257, 971949, 1093113, 971807, 836181, 13945181, 892768, 933303, 12524365, 5566697, 838859, 964835, 13213074, 5577030, 1042421]"
40,"[948190, 1079067, 6534178, 913210, 12731632, 12731518, 13095651, 5585510, 1082185, 893802, 859075, 838554, 928092, 10457101, 8205731, 5568845, 5590287, 963868, 927191, 834484, 1055504, 5585735, 1037863, 1133826, 878996, 874976, 1048962, 975644, 1019212, 1075755, 5588365, 840361, 904148, 935086, 1113467, 1040898, 986947, 1104343, 939119, 863505, 995242, 921288, 1056651, 947441, 1083043, 821565, 883404, 6034857, 883202, 12757544]"
41,"[5585510, 913210, 12810393, 909714, 1082185, 6034857, 1044805, 5995445, 994928, 5567502, 865705, 862682, 821556, 10344971, 852864, 844740, 1096817, 957951, 1047619, 15717057, 6633342, 1051810, 850058, 931608, 5569376, 1120009, 9419888, 13189861, 13072944, 6961848, 991024, 1087754, 1058068, 9651582, 8181516, 13133971, 1089184, 974250, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843]"
42,"[15717070, 837569, 1051211, 981760, 1082185, 6602697, 976998, 839656, 916122, 1117500, 855557, 1135460, 943522, 13190283, 13190673, 990440, 9834742, 15717272, 1060673, 966695, 5995177, 13190153, 829621, 1064550, 893811, 920432, 1114604, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899]"
43,"[899038, 865330, 1120741, 1049918, 1106523, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349, 845208]"
46,"[846014, 1039682, 927783, 1115098, 862335, 882247, 932242, 1082185, 847025, 1066069, 866211, 1122358, 878996, 987562, 834117, 869577, 911812, 923746, 1121360, 896862, 857503, 1046587, 1074333, 999104, 1029743, 1050534, 1098066, 962568, 823721, 1135476, 819518, 897125, 849297, 834631, 15926844, 5569327, 15926712, 826249, 874149, 845705, 867188, 883932, 839243, 5570383, 942817, 873902, 960732, 1094619, 969932, 934369]"
47,"[820165, 1055504, 1075175, 865511, 901397, 859924, 7410217, 1130893, 876042, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719]"
48,"[9835509, 880150, 831628, 1080841, 1040346, 1131550, 934639, 1040700, 1022119, 850990, 897954, 868423, 944376, 1003257, 10285335, 971585, 855916, 15596488, 1028890, 839454, 913144, 841905, 7410335, 890533, 9485437, 857000, 15596180, 960718, 9487498, 996064, 15736860, 979178, 15597118, 13944709, 16219167, 13095319, 9445777, 879564, 15972228, 835482, 867460, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590]"
49,"[1104056, 987941, 990256, 1069268, 10121646, 15571171, 900770, 928961, 8119129, 935200, 936741, 1053530, 874972, 1014915, 873782, 874617, 845294, 893501, 862732, 999250, 16805728, 932242, 831808, 1028715, 1024306, 839243, 924786, 901067, 899201, 1129610, 1126899, 1115228, 1082185, 15860306, 841236, 1074333, 999134, 823704, 863447, 1110111, 1054402, 1101771, 1078346, 923746, 5569471, 1115175, 989069, 981760, 825365, 916122]"
52,"[13512916, 13511916, 10285006, 1067779, 9296804, 1087376, 1072437, 1074754, 1039627, 949991, 878880, 1112333, 1022119, 13417048, 15716445, 927400, 1060408, 907014, 965331, 995478, 930118, 9553047, 1085983, 10121965, 819765, 972665, 850795, 6039759, 15973164, 1064380, 1053690, 904997, 840361, 1040371, 948665, 1003600, 1088393, 1082185, 900802, 962274, 979707, 878996, 1040693, 834484, 995785, 962568, 1030182, 12984929, 5564901, 1016539]"
53,"[999858, 1031083, 5569471, 1041928, 14074671, 917732, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349]"
55,"[6602759, 840361, 849843, 1116589, 15926844, 844165, 823758, 871756, 935393, 17283348, 9547020, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531]"
56,"[9655212, 1082185, 1119051, 1041259, 1112333, 1068651, 834631, 860776, 878996, 9445919, 1009187, 1013321, 1055504, 1056651, 883202, 973916, 979707, 903325, 820165, 940947, 1004906, 1071333, 834484, 832678, 8090537, 1058214, 5591793, 9803545, 990797, 891415, 885023, 961554, 1038894, 995242, 908531, 1116821, 1058997, 1009449, 839419, 9571047, 1069621, 981760, 5569230, 995645, 900586, 12301100, 15716684, 1100972, 7168417, 1044099]"
57,"[17104444, 17105058, 862070, 17249614, 1011141, 862725, 997907, 947147, 855557, 936723, 861615, 931108, 12781914, 12757506, 829852, 940980, 952122, 983278, 12670635, 995785, 860776, 16769709, 16769996, 842264, 16769828, 859121, 843891, 866227, 847270, 828867, 1106523, 1075170, 882305, 6534404, 934369, 12352400, 877226, 6533608, 9420288, 989871, 12781597, 933272, 13213150, 8293219, 9222020, 17214960, 1100049, 918490, 967929, 16769917]"
58,"[899838, 1025650, 1092446, 975644, 6534178, 17105399, 1082185, 932242, 905582, 1041259, 922340, 945273, 870515, 834484, 1120443, 856345, 989824, 892314, 13071902, 999639, 12352293, 905636, 1040693, 1062340, 938300, 909714, 840361, 7155863, 12696250, 1043590, 15927215, 1028816, 979707, 961554, 888178, 5569471, 5569230, 15972074, 1055425, 1131620, 13876348, 13213344, 1031419, 1070820, 1016129, 919180, 1054539, 970030, 1039831, 825180]"
59,"[909268, 1000205, 12812261, 5587938, 6034857, 834484, 5582789, 847789, 921504, 825749, 827802, 885863, 5588942, 1100927, 7410288, 845208, 10180397, 961554, 16769965, 981760, 860776, 1007642, 7410013, 931870, 1115402, 10457471, 1045586, 954355, 9912443, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707]"
60,"[15512234, 17105530, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349, 845208, 833025, 1135476, 1053690]"
63,"[897733, 926958, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349, 845208, 833025, 1135476, 1053690]"
64,"[886941, 859618, 978965, 5591038, 12988115, 971325, 942693, 913089, 1013928, 1132789, 1089392, 8069230, 1041796, 1025611, 1139827, 1123014, 1068292, 9859128, 963517, 957839, 943233, 859592, 1044299, 938599, 1020210, 972143, 1058930, 853172, 13382073, 970202, 833715, 866211, 15926885, 1108168, 819845, 1003421, 857849, 907014, 840361, 913202, 5995692, 887503, 1103808, 1108654, 8090539, 1050851, 908531, 13115903, 1111839, 896974]"
65,"[1125197, 12781924, 1135886, 970714, 832760, 992153, 1065331, 1052335, 835347, 836952, 5568228, 1101725, 909510, 997907, 1058686, 981240, 12330794, 1118012, 963238, 888614, 5591814, 15740864, 888575, 13511678, 13513297, 926449, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484]"
67,"[6534178, 1118946, 15973146, 954347, 894232, 13512668, 933835, 880741, 13417588, 977780, 16769856, 9420067, 1004945, 971922, 892556, 12487154, 975644, 819840, 14043817, 1045080, 1025650, 983507, 953476, 1049788, 1066069, 982112, 965530, 885697, 8181355, 820361, 918733, 868082, 15927215, 991949, 1109371, 9526563, 999971, 826249, 870547, 1003836, 13417761, 886395, 1009200, 965766, 7440663, 15506577, 1082185, 925626, 1081177, 15926725]"
68,"[7168026, 995242, 9527158, 9526886, 1013928, 1082990, 1086641, 1082185, 9526563, 933835, 885697, 833723, 830887, 1068719, 1101010, 879755, 1040807, 1106523, 819063, 1085604, 9245106, 999858, 951590, 981760, 1110244, 844179, 1004906, 831509, 949965, 1029743, 1039348, 890610, 840361, 1055863, 883404, 1118033, 977798, 866140, 917826, 963336, 1082544, 899624, 15971801, 1013321, 938700, 999134, 927191, 981877, 866778, 1075470]"
69,"[866140, 1119060, 989075, 885290, 994928, 1069621, 1106523, 929018, 978974, 897306, 824555, 951526, 1036432, 972742, 1051211, 923967, 925258, 6602697, 960791, 840011, 925862, 1082185, 15926827, 928049, 859075, 965766, 913785, 972143, 1124729, 5574409, 953134, 827656, 15926725, 857006, 1075337, 16770156, 6463742, 5585701, 1080414, 899624, 969205, 6391436, 1017363, 938700, 1013321, 1004906, 891217, 966358, 943076, 7025046]"
70,"[1039156, 1055863, 1124729, 894236, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349, 845208, 833025]"
71,"[12302069, 852856, 1056509, 909894, 1003188, 847790, 10149656, 1115259, 830156, 13133815, 856553, 1008288, 877601, 1133299, 889904, 1012517, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857]"
72,"[1067849, 1066685, 6548453, 819978, 860776, 991874, 967461, 5585510, 9835408, 986947, 1082185, 1070820, 1005274, 1001277, 855468, 1077703, 952981, 1103629, 978906, 912553, 1047226, 839243, 835285, 8090521, 872137, 865705, 867188, 1036401, 1069621, 945805, 914190, 938596, 1032967, 9859060, 961791, 6979427, 970714, 1077643, 1073775, 6979099, 908145, 12695977, 889223, 12383754, 951313, 8019681, 1077951, 1082185, 6534178, 1029743]"
73,"[1069003, 1110764, 886481, 1082185, 1070820, 829291, 5568489, 1091858, 8090521, 845774, 1071939, 1128016, 13511916, 17214322, 1130581, 13512719, 16219520, 9483753, 16219303, 1132956, 838563, 1079414, 890513, 14050428, 994894, 848605, 15630054, 15630069, 15630071, 991092, 9297561, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568]"
74,"[919828, 977033, 960142, 849701, 830795, 1050310, 9571047, 949645, 5588238, 15973034, 5591538, 1003836, 850533, 1085369, 901578, 985922, 1126045, 1082185, 1133018, 1043590, 981760, 1106523, 1077555, 1127624, 911812, 907014, 849843, 890695, 1131974, 1043128, 937571, 1076056, 15926927, 998373, 1078346, 935284, 5584645, 926422, 1044078, 901666, 1049788, 1077143, 959409, 1001148, 1005186, 5569374, 878996, 15973154, 15972091, 1082185]"
75,"[707683, 5552150, 721353, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928, 908531, 5569471, 1068719, 1096036, 1081177, 862349, 845208, 833025, 1135476]"
76,"[901062, 909714, 860776, 887503, 6034780, 968215, 995785, 912146, 1050883, 1064945, 999657, 16053142, 1082185, 6534178, 1029743, 995242, 1106523, 981760, 883404, 5569230, 951590, 840361, 923746, 849843, 995785, 1055646, 1133018, 1070820, 961554, 860776, 962568, 5978656, 979707, 1004906, 1126899, 834484, 859075, 844179, 899624, 914190, 878996, 844165, 1005186, 903325, 5568378, 6034857, 826249, 1058997, 916122, 994928]"
